model,f1_minority_bin,pr_auc_bin,precision_minority_bin,recall_minority_bin,latency_ms_per_1k_bin,vram_peak_mb_bin,threshold_bin,run_dir_bin,f1_minority_mc8,pr_auc_mc8,precision_minority_mc8,recall_minority_mc8,latency_ms_per_1k_mc8,vram_peak_mb_mc8,threshold_mc8,run_dir_mc8,delta_f1_minority,delta_pr_auc
bertimbau-base,0.8754270097927579,0.9422614053305629,0.8681120144534779,0.8828663298116675,4115.715401532833,3099.20361328125,0.05,artifacts/runs/20260422-140951__gen2__bertimbau-base__raw-ml256-bin,0.8830409356725146,0.9464388370174336,0.8651388276773909,0.9016995865870464,4110.912522783079,3099.25634765625,0.16,artifacts/runs/20260422-155027__gen2__bertimbau-base__raw-ml256-mc8,0.007613925879756733,0.004177431686870681
deb3rta-base,0.7702493930699624,0.8448075303826372,0.7412914188615123,0.8015617822691777,9293.9370474224,9186.6591796875,0.13,artifacts/runs/20260423-002306__gen2__deb3rta-base__raw-ml256-bin,0.7907287720080232,0.8743111322333352,0.767965367965368,0.8148828663298117,9613.985845338519,9186.7646484375,0.31,artifacts/runs/20260423-043911__gen2__deb3rta-base__raw-ml256-mc8,0.020479378938060733,0.029503601850698002
distilbertimbau,0.8550169109357384,0.9278434487640211,0.8396811337466785,0.8709232889297198,2699.0767444466433,2564.01708984375,0.18,artifacts/runs/20260423-092121__gen2__distilbertimbau__raw-ml256-bin,0.8704480247186052,0.9391883941113917,0.8377230246389125,0.9058337161231051,2691.365497515205,2564.06982421875,0.18,artifacts/runs/20260423-100643__gen2__distilbertimbau__raw-ml256-mc8,0.015431113782866768,0.011344945347370516
finbert-ptbr,0.8654646324549237,0.940193222595643,0.8711028385295486,0.8598989435002297,3956.351321777135,3101.57861328125,0.21,artifacts/runs/20260422-174234__gen2__finbert-ptbr__raw-ml256-bin,0.8814095324147279,0.9462346846141908,0.8671111111111112,0.8961874138723014,4033.6591796298976,3101.63134765625,0.3,artifacts/runs/20260422-192000__gen2__finbert-ptbr__raw-ml256-mc8,0.015944899959804193,0.006041462018547827
xlmr-base,0.8577847674679847,0.9336652059787998,0.8394898856640282,0.8768948093706936,4198.761616190606,5029.60205078125,0.06,artifacts/runs/20260423-063656__gen2__xlmr-base__raw-ml256-bin,0.8729232150875618,0.9436011309132184,0.8537549407114624,0.8929719797887,4203.020198311251,5029.65478515625,0.28,artifacts/runs/20260423-083608__gen2__xlmr-base__raw-ml256-mc8,0.015138447619577056,0.009935924934418638
